2024-06-01 23:01:42.512 [info] Reading sessions from keychain...
2024-06-01 23:01:42.512 [info] Getting sessions for all scopes...
2024-06-01 23:01:42.512 [info] Getting sessions for all scopes...
2024-06-01 23:01:42.512 [info] Getting sessions for user:email...
2024-06-01 23:01:42.512 [info] Got stored sessions!
2024-06-01 23:01:42.512 [info] Got 2 verified sessions.
2024-06-01 23:01:42.512 [info] Got 2 sessions for ...
2024-06-01 23:01:42.512 [info] Got 2 sessions for ...
2024-06-01 23:01:42.512 [info] Got 1 sessions for user:email...
2024-06-01 23:01:42.512 [info] Getting sessions for all scopes...
2024-06-01 23:01:42.512 [info] Got 2 sessions for ...
2024-06-01 23:01:42.512 [info] Getting sessions for all scopes...
2024-06-01 23:01:42.512 [info] Got 2 sessions for ...
2024-06-01 23:01:43.045 [info] Getting sessions for read:user,repo,user:email...
2024-06-01 23:01:43.045 [info] Got 1 sessions for read:user,repo,user:email...
2024-06-01 23:01:43.046 [info] Getting sessions for all scopes...
2024-06-01 23:01:43.046 [info] Got 2 sessions for ...
2024-06-01 23:05:12.275 [info] Getting sessions for read:user,repo,user:email,workflow...
2024-06-01 23:05:12.275 [info] Got 0 sessions for read:user,repo,user:email,workflow...
2024-06-01 23:09:26.840 [info] Getting sessions for all scopes...
2024-06-01 23:09:26.840 [info] Got 2 sessions for ...
2024-06-01 23:09:56.229 [info] Getting sessions for all scopes...
2024-06-01 23:09:56.229 [info] Got 2 sessions for ...
2024-06-01 23:09:59.379 [info] Getting sessions for all scopes...
2024-06-01 23:09:59.379 [info] Got 2 sessions for ...
2024-06-01 23:10:59.563 [info] Getting sessions for all scopes...
2024-06-01 23:10:59.563 [info] Got 2 sessions for ...
2024-06-01 23:14:11.717 [info] Getting sessions for all scopes...
2024-06-01 23:14:11.717 [info] Got 2 sessions for ...
2024-06-01 23:14:34.693 [info] Getting sessions for all scopes...
2024-06-01 23:14:34.693 [info] Got 2 sessions for ...
2024-06-01 23:17:13.550 [info] Getting sessions for all scopes...
2024-06-01 23:17:13.550 [info] Got 2 sessions for ...
2024-06-01 23:17:14.224 [info] Getting sessions for all scopes...
2024-06-01 23:17:14.224 [info] Got 2 sessions for ...
2024-06-01 23:17:22.826 [info] Getting sessions for all scopes...
2024-06-01 23:17:22.826 [info] Got 2 sessions for ...
2024-06-01 23:17:31.772 [info] Getting sessions for all scopes...
2024-06-01 23:17:31.772 [info] Got 2 sessions for ...
2024-06-01 23:18:54.218 [info] Getting sessions for all scopes...
2024-06-01 23:18:54.218 [info] Got 2 sessions for ...
2024-06-01 23:19:59.985 [info] Getting sessions for all scopes...
2024-06-01 23:19:59.985 [info] Got 2 sessions for ...
2024-06-01 23:20:04.602 [info] Getting sessions for all scopes...
2024-06-01 23:20:04.602 [info] Got 2 sessions for ...
2024-06-01 23:21:16.270 [info] Getting sessions for all scopes...
2024-06-01 23:21:16.270 [info] Got 2 sessions for ...
2024-06-01 23:21:34.437 [info] Getting sessions for all scopes...
2024-06-01 23:21:34.437 [info] Got 2 sessions for ...
2024-06-01 23:21:40.353 [info] Getting sessions for all scopes...
2024-06-01 23:21:40.353 [info] Got 2 sessions for ...
2024-06-01 23:21:43.486 [info] Getting sessions for all scopes...
2024-06-01 23:21:43.486 [info] Got 2 sessions for ...
2024-06-01 23:21:52.087 [info] Getting sessions for all scopes...
2024-06-01 23:21:52.087 [info] Got 2 sessions for ...
2024-06-01 23:22:40.702 [info] Getting sessions for all scopes...
2024-06-01 23:22:40.703 [info] Got 2 sessions for ...
2024-06-01 23:23:53.338 [info] Getting sessions for all scopes...
2024-06-01 23:23:53.338 [info] Got 2 sessions for ...
2024-06-01 23:24:00.618 [info] Getting sessions for all scopes...
2024-06-01 23:24:00.618 [info] Got 2 sessions for ...
2024-06-01 23:24:27.289 [info] Getting sessions for all scopes...
2024-06-01 23:24:27.289 [info] Got 2 sessions for ...
2024-06-01 23:24:34.721 [info] Getting sessions for all scopes...
2024-06-01 23:24:34.721 [info] Got 2 sessions for ...
2024-06-01 23:24:36.788 [info] Getting sessions for all scopes...
2024-06-01 23:24:36.788 [info] Got 2 sessions for ...
2024-06-01 23:25:11.088 [info] Getting sessions for all scopes...
2024-06-01 23:25:11.088 [info] Got 2 sessions for ...
2024-06-01 23:26:34.789 [info] Getting sessions for all scopes...
2024-06-01 23:26:34.789 [info] Got 2 sessions for ...
